机构名称,名单来源,排除理由,需调研,mwlab命中数,mwlab展会,mwlab最大面积
(上海老博会)上海银发经贸发展有限公司,参会,,Y,0,,
31会议,参会+观众,,Y,0,,
ATC,观众,,Y,0,,
BFC CHINA,观众,,Y,0,,
CMES华机展,参会,,Y,0,,
CPCA,观众,,Y,1,国际电子电路上海展览会,55000
Connect Build Sdn bhd,观众,,Y,0,,
Focus Send,参会,,Y,0,,
Focussend（上海星邮信息科技有限公司）,展商,,Y,0,,
GL events,参会,国际同行(竞争对手),,1,英国伯明翰割草机、草坪场地管理展览会,15000
ITE China,参会,国际同行(竞争对手),,11,印度新德里建材展览会 | 俄罗斯克拉斯诺达尔农业机械展览会 | 印度班加罗尔建材展览会 | 俄罗斯莫斯科安防及消防展览会 | 俄罗斯莫斯科木工机械展览会,100000
Koelnmesse,观众,国际同行(竞争对手),,13,日本糖果烘焙及休闲食品展 | 泰国亚洲游戏展-东南亚游戏展 | 泰国酒店用品展 | 日本东京办公家具展 | 德国科隆无线通信技术展览会,35000
LISO,观众,,Y,0,,
Lucky Star Messe Design GmbH,参会,,Y,0,,
Lucky Star Messe Design GmbH/SC Smart Fair Project SRL,展商,,Y,0,,
MP新加坡私人有限公司,参会,,Y,0,,
Nebula Events USA,展商,,Y,1,英国伯明翰割草机、草坪场地管理展览会,15000
RX Global,观众,国际同行(竞争对手),,0,,
TP Media,观众,,Y,0,,
XRISE（迪拜本地工厂）,展商,执行类服务商/非会展主体,,0,,
eastsrarchina,观众,,Y,0,,
expotec,观众,,Y,0,,
wmedia,观众,,Y,0,,
一展（广州）装饰工程有限公司,展商,执行类服务商/非会展主体,,0,,
万国博览集团,参会,,Y,0,,
万灵主建（上海）会展服务有限公司,观众,,Y,0,,
三亚亚龙湾希尔顿酒店,参会,酒店/住宿文旅,,0,,
三亚保利国际博览中心,参会,,Y,2,南京世界智能制造博览会 | 南宁国际学生用品交易会暨中国·东盟(南宁)国际教育展览会,55000
三亚市商务局,参会,科技/营销服务商,,14,中国北京国际游乐设施设备博览会暨北京国际旅游休闲娱乐产业博览会 | 2024中国（北京）国际游乐设施设备博览会暨2024北京国际旅游休闲娱乐产业博览会 | 北京国际火锅食材用品展览会 | 杭州食品电商选品博览会-私域团长大会 | 宁波出口跨境电商展览会,440000
三亚市投资促进局,参会,科技/营销服务商,,1,国际基础设施投资与建设高峰论坛暨展览会,100000
三亚市旅游会展协会,参会+展商,,Y,0,,
三亚滨海国际会展有限公司,参会,,Y,1,武汉国际环保产业博览会,40000
上叶展览,观众,,Y,0,,
上海·张江科学会堂,观众,,Y,0,,
上海万怡医学科技股份有限公司,观众,,Y,0,,
上海不凡会展有限公司（神马活动）,观众,,Y,0,,
上海世博展览馆,观众,,Y,0,,
上海东浩会展经营有限公司,观众+展商,,Y,0,,
上海东浩兰生会展（集团）有限公司,观众,,Y,8,CIIF中国国际工业博览会 | 上海国际数字印花展览会 | 成都国际工业博览会 | 华南（深圳）工业博览会SCIIF | 中国工博会MWCS数控机床与金属加工展,300000
上海东浩兰生威客引力信息科技有限公司,参会,,Y,8,CIIF中国国际工业博览会 | 上海国际数字印花展览会 | 成都国际工业博览会 | 华南（深圳）工业博览会SCIIF | 中国工博会MWCS数控机床与金属加工展,300000
上海中外文化艺术交流协会 国际城市交流专委会,观众,,Y,0,,
上海中芒展览集团有限公司,观众,,Y,0,,
上海亚秀信息科技有限公司,观众,科技/营销服务商,,0,,
上海交大思源实业有限公司,观众,院校,,0,,
上海亿创会展服务有限公司,观众,,Y,0,,
上海亿诚品牌策划有限公司,观众,科技/营销服务商,,0,,
上海仕合企业管理咨询有限公司,观众,科技/营销服务商,,0,,
上海以来卉网络科技有限公司,观众,科技/营销服务商,,0,,
上海价捷实业有限公司,观众,科技/营销服务商,,0,,
上海会优会务服务有限公司,观众,,Y,0,,
上海信世展览服务有限公司,观众,,Y,6,国际生物工程装备与技术展览会上海 | 上海国际气力输送技术及设备展览会 | 上海国际月子健康博览会 | 世界燕窝及天然滋补品博览会 | 中国国际生物发酵产品与技术装备展览会 BIO,45000
上海傲融云客智能科技有限公司,参会+展商,科技/营销服务商,,0,,
上海八彦图信息科技有限公司,参会+展商,科技/营销服务商,,0,,
上海决策者经济顾问股份有限公司,参会+观众,,Y,0,,
上海创为建筑工程有限公司,观众,执行类服务商/非会展主体,,1,广东新型建筑工业化与装配式建筑、智能建筑展,12000
上海医慧视点商务咨询有限公司,观众,,Y,0,,
上海华好会展有限公司,观众,,Y,2,JME天津国际机床展 | CMES华机展西安国际机床展,50000
上海华智展览,观众,,Y,0,,
上海华集信息科技有限公司,展商,,Y,0,,
上海博迈思医疗服务有限公司,参会,,Y,0,,
上海博雅酒店,观众,酒店/住宿文旅,,0,,
上海卡西亚,观众,,Y,0,,
上海同高信息技术有限公司,参会+展商,科技/营销服务商,,0,,
上海咔拍网络科技有限公司,展商,执行类服务商/非会展主体,,0,,
上海咕嗒文化传媒有限公司,观众,科技/营销服务商,,0,,
上海唐都文化传播有限公司,观众,科技/营销服务商,,0,,
上海喆敖市场营销策划有限公司,观众,科技/营销服务商,,0,,
上海嘉盛韵实展览展示有限公司,观众,,Y,0,,
上海国展展览中心有限公司,观众,,Y,4,中国国际摩托车博览会 | 重庆国际汽车展览会 | 2024（第二十六届）重庆国际汽车展览会 | 中国（上海）国际乐器展览会 Music China,160000
上海墨凡融创展览有限公司,观众,,Y,0,,
上海大玉文化传播有限公司,观众,科技/营销服务商,,0,,
上海天麦信息科技有限公司,观众,科技/营销服务商,,0,,
上海威列杜会展策划有限公司,观众,,Y,0,,
上海威客会展服务有限公司,观众,,Y,0,,
上海季辰活动公司,观众,,Y,0,,
上海它布斯展览有限公司,观众,,Y,0,,
上海宽信展览展示服务有限公司,观众,,Y,0,,
上海对外经贸大学,参会,院校,,0,,
上海尚玺科技有限公司,观众,,Y,0,,
上海巡展网络科技有限公司-展讯网会展平台,观众,,Y,0,,
上海市创意产业协会主题文化产业专委会,观众,,Y,0,,
上海市自有品牌协会,观众,,Y,3,PLF全球自有品牌产品亚洲展 | 上海国际零售生鲜食材展览会 | 第十九届上海全球自有品牌产品亚洲展,70000
上海市译牛科技有限公司,观众,,Y,0,,
上海弘玑信息技术有限公司,观众,科技/营销服务商,,0,,
上海张江科学会堂运营管理有限公司,参会+展商,,Y,0,,
上海张江达社lyf酒店,观众,酒店/住宿文旅,,0,,
上海强欣广告有限公司,观众,执行类服务商/非会展主体,,0,,
上海志盯网络科技有限公司,观众,科技/营销服务商,,0,,
上海志胜企业营销策划有限公司,观众,科技/营销服务商,,0,,
上海忻虞企业管理咨询有限公司,观众,科技/营销服务商,,0,,
上海悦及第酒店管理有限公司（广富林宰相府酒店）,观众,酒店/住宿文旅,,0,,
上海慕尼黑展览有限公司,观众,国际同行(竞争对手),,57,德国慕尼黑环保展览会IFAT | 德国慕尼黑电动车充电设备展 | 德国慕尼黑电池储能展览会EES | 德国慕尼黑智慧能源展览会 | 德国慕尼黑智能电网展,250000
上海揽境展览服务有限公司,观众,,Y,0,,
上海敬一展览展示有限公司（上海鑫敬壹展览服务有限公司）,参会,,Y,0,,
上海文武网络科技有限公司,观众,科技/营销服务商,,0,,
上海新国际博览中心有限公司,观众,,Y,2,南京世界智能制造博览会 | 南宁国际学生用品交易会暨中国·东盟(南宁)国际教育展览会,55000
上海新春申展览有限公司,观众,,Y,0,,
上海易展宝广告会展有限公司,参会+展商,,Y,0,,
上海易搭环保科技有限公司,观众,,Y,0,,
上海易贸医疗科技有限公司,观众,,Y,0,,
上海星业邦文化传媒有限公司,观众,科技/营销服务商,,0,,
